"mID","mName","mAdd1","mAdd2","mCity","mZip","mDayNo","mDay","mTime","mInternational","mOpen","mSmoke","mType","mNotes","mAccess","mSpecial"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","2","Mon","05:30P","17:30","O","NSM","Discussion","1 meetings","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","2","Mon","07:00P","19:00","O","NSM","Discussion","","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","3","Tue","07:00A","07:00","O","NSM","Discussion","Step","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","3","Tue","12:00P","12:00","O","NSM","Discussion","Step, 2 meetings","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","3","Tue","05:30P","17:30","O","NSM","Discussion","Men's, 2 meetings","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","3","Tue","07:00P","19:00","O","NSM","Discussion","Step","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","4","Wed","07:00A","07:00","O","NSM","Discussion","","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","4","Wed","07:00P","19:00","O","NSM","Discussion","","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","5","Thu","07:00A","07:00","O","NSM","Discussion","","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","5","Thu","10:00A","10:00","O","W","Discussion","Women","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","5","Thu","12:00P","12:00","O","NSM","Discussion","2 meetings","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","6","Fri","07:00A","07:00","O","NSM","Discussion","","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","6","Fri","12:00P","12:00","O","NSM","Discussion","2 meetings","H","39.390795,-76.619945"
"20409","Agape","Sheppard Pratt; Gibson Bldg; 3rd flr","6501 N. Charles St.","Towson","21204","6","Fri","05:30P","17:30","O","NSM","Discussion","2 meetings","H","39.390795,-76.619945"
